cluster,term,overlap,gene_set_size,pval,genes,padj
16,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,5,13,2.196488406871947e-09,"ACTA2,COL3A1,SPARC,TAGLN,THY1",5.491221017179867e-08
10,HALLMARK_ANGIOGENESIS,4,12,1.9367227221870655e-07,"ANGPT2,CDH5,COL4A1,TEK",2.420903402733832e-06
0,HALLMARK_INTERFERON_GAMMA_RESPONSE,4,14,3.8891988311757957e-07,"B2M,HLA-A,HLA-B,HLA-C",3.2409990259798296e-06
3,HALLMARK_ANGIOGENESIS,2,12,0.0013113782224687801,"THBS1,VEGFA",0.0065568911123439
16,HALLMARK_ANGIOGENESIS,2,12,0.0013113782224687801,"COL4A1,PDGFRB",0.0065568911123439
8,HALLMARK_INTERFERON_GAMMA_RESPONSE,2,14,0.0017974230814939071,"HLA-A,HLA-B",0.007489262839557947
1,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,HSPD1,0.06182678767281298
4,HALLMARK_APOPTOSIS,1,13,0.05753897591629019,PMAIP1,0.06182678767281298
4,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,HSPD1,0.06182678767281298
6,HALLMARK_MYC_TARGETS_V1,1,13,0.05753897591629019,NPM1,0.06182678767281298
0,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.06182678767281298,CCL5,0.06182678767281298
4,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281298
4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,CD83,0.06182678767281298
3,HALLMARK_HYPOXIA,1,14,0.06182678767281298,VEGFA,0.06182678767281298
1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,JUNB,0.06182678767281298
0,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,TNFAIP3,0.06182678767281298
8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,TNFAIP3,0.06182678767281298
7,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.06182678767281298,CXCL8,0.06182678767281298
7,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,CD83,0.06182678767281298
4,HALLMARK_P53_PATHWAY,1,14,0.06182678767281298,PMAIP1,0.06182678767281298
11,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281298
14,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,CD83,0.06182678767281298
14,HALLMARK_INTERFERON_GAMMA_RESPONSE,1,14,0.06182678767281298,HLA-DRA,0.06182678767281298
8,HALLMARK_INFLAMMATORY_RESPONSE,1,14,0.06182678767281298,CCL5,0.06182678767281298
15,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1,14,0.06182678767281298,TNFAIP3,0.06182678767281298
