module,status,message
cellranger,ok,completed
qc,ok,completed
doublet_detection,ok,completed
clustering,ok,completed
batch_correction,ok,"Batch key 'sample' not found, skipping batch correction."
batch_correction,ok,completed
cnv_inference,ok,completed
trajectory,ok,completed
differential_expression,ok,completed
metacell,ok,completed
annotation,ok,completed
cell_cycle,ok,completed
gene_regulatory_network,ok,completed
gene_signature_scoring,ok,completed
evolution,ok,completed
cell_communication,ok,completed
immune_phenotyping,ok,completed
tumor_microenvironment,ok,completed
pathway_analysis,ok,completed
pseudobulk_de,failed,"No sample/batch column found in adata.obs (tried 'sample' + ('sample', 'batch', 'donor', 'patient'))."
cell_fate,ok,completed
composition,ok,completed
pseudo_velocity,ok,completed
