leiden,count,mean,median,std
0,414,0.00034666486,0.00026547158,0.00031673233
1,328,0.0005227918,0.00032426158,0.0009620028
2,303,0.0010115308,0.0006531186,0.0026110027
3,184,0.0014467165,0.0010497922,0.0015202941
4,111,0.00055226474,0.00035555486,0.0011427883
5,155,0.0035055233,0.0026272302,0.0034178435
6,288,0.000658753,0.00035016844,0.0032779719
7,14,0.008082661,0.009804824,0.0027389468
8,100,0.0006346181,0.00037855198,0.00094676146
9,67,0.0077998657,0.0011611937,0.015636414
10,58,0.0026953695,0.00067296176,0.010229297
11,82,0.0047645895,0.002274658,0.012644242
12,47,0.004819915,0.0014374269,0.0084535545
13,226,0.0005669195,0.0004360852,0.00046227966
