,cell_type,n_cells,PD-1,PD-1_pct,PD-L1,PD-L1_pct,PD-L2,PD-L2_pct,CTLA-4,CTLA-4_pct,LAG-3,LAG-3_pct,TIM-3,TIM-3_pct,TIGIT,TIGIT_pct,VISTA,VISTA_pct,IDO1,IDO1_pct,B7-H3,B7-H3_pct
0,T cell,771,0.5391,30.61,0.0482,3.63,0.0106,0.91,0.552,31.26,0.4328,25.03,0.1221,8.04,0.6851,38.13,0.5044,31.52,0.0027,0.26,0.0,0.0
1,Myeloid/Macro,493,0.0574,8.92,0.0653,11.76,0.055,11.16,0.054,7.91,0.0627,9.74,0.5873,66.53,0.0559,8.52,0.6242,62.68,0.0734,5.88,0.1245,21.91
2,B cell,316,0.0593,4.75,0.026,2.85,0.0065,0.63,0.0117,0.95,0.0,0.0,0.011,1.27,0.0324,2.85,0.3754,28.16,0.0081,0.63,0.0,0.0
3,Tumor epithelial,205,0.0228,2.93,0.07,13.17,0.0031,1.46,0.0064,1.46,0.0384,2.93,0.0062,1.46,0.0146,0.98,0.1224,16.59,0.5102,39.51,0.1855,25.37
4,NK cell,203,0.3091,18.23,0.0278,1.97,0.0065,0.49,0.2459,13.79,0.5185,27.59,0.3097,16.75,0.5352,30.54,0.4132,25.12,0.0,0.0,0.0,0.0
5,Plasma cell,96,0.1359,10.42,0.0423,6.25,0.0168,3.12,0.1242,8.33,0.1452,16.67,0.0293,4.17,0.2408,16.67,0.3084,34.38,0.0,0.0,0.0027,1.04
6,Endothelial,43,0.1018,6.98,0.1186,9.3,0.0,0.0,0.162,11.63,0.0491,4.65,0.0452,2.33,0.1492,9.3,0.7623,55.81,0.2344,9.3,0.178,13.95
7,Mast cell,93,0.0411,2.15,0.2372,17.2,0.0389,3.23,0.0508,3.23,0.0582,3.23,0.3122,21.51,0.0582,3.23,0.5992,40.86,0.0058,1.08,0.1489,13.98
8,Unknown,114,0.2793,14.91,0.0154,0.88,0.0,0.0,0.2687,15.79,0.1916,9.65,0.063,2.63,0.456,22.81,0.3732,21.05,0.0448,1.75,0.0159,0.88
9,Dendritic cell,16,0.1019,12.5,0.0369,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0871,12.5,0.0,0.0,0.4154,31.25,0.0767,6.25,0.0,0.0
10,Fibroblast,27,0.0752,3.7,0.0113,3.7,0.0,0.0,0.0202,3.7,0.0366,7.41,0.0232,7.41,0.166,7.41,0.4,37.04,0.0,0.0,0.2241,29.63
