leiden,immune_subtype,count
0,CD4_memory,78
0,CD4_naive,5
0,CD8_effector,188
0,CD8_exhausted,62
0,CD8_memory,14
0,Immune_unassi,1
0,Macro_M2,2
0,NK_cytotoxic,14
0,Th1,18
0,Th17,4
0,Th2,3
0,Treg,3
1,CD4_memory,96
1,CD4_naive,26
1,CD8_effector,73
1,CD8_exhausted,28
1,CD8_memory,11
1,Immune_unassi,1
1,Macro_M2,1
1,NK_cytotoxic,8
1,Th1,21
1,Th17,4
1,Th2,7
1,Treg,20
1,cDC1,3
1,pDC,3
2,CD4_memory,27
2,Macro_M1,26
2,Macro_M2,236
2,NK_cytotoxic,1
2,Treg,5
2,cDC2,3
2,pDC,3
3,CD4_memory,37
3,CD4_naive,3
3,CD8_effector,1
3,CD8_exhausted,1
3,CD8_memory,2
3,Immune_unassi,1
3,Macro_M1,30
3,Macro_M2,55
3,Th17,1
3,cDC1,15
3,cDC2,32
3,pDC,5
4,CD4_memory,1
4,CD4_naive,13
4,CD8_effector,2
4,CD8_memory,2
4,Immune_unassi,5
4,Macro_M1,9
4,Th1,3
4,Th17,9
4,Treg,2
4,cDC1,38
4,cDC2,5
4,pDC,21
5,Immune_unassi,1
5,NK_cytotoxic,1
6,CD4_memory,103
6,CD4_naive,48
6,CD8_effector,3
6,CD8_exhausted,19
6,CD8_memory,11
6,Macro_M2,1
6,NK_cytotoxic,1
6,Th17,2
6,Th2,5
6,Treg,48
6,pDC,1
7,CD8_memory,1
7,Immune_unassi,5
7,Macro_M1,2
7,Macro_M2,1
7,NK_cytotoxic,1
7,cDC1,1
8,CD4_memory,7
8,CD4_naive,1
8,CD8_effector,38
8,CD8_exhausted,6
8,CD8_memory,2
8,Macro_M2,5
8,NK_cytotoxic,16
8,Th1,3
8,Th17,1
8,Th2,1
8,Treg,2
9,CD4_memory,6
9,CD4_naive,2
9,CD8_effector,6
9,CD8_exhausted,1
9,CD8_memory,2
9,Immune_unassi,17
9,Macro_M2,2
9,Th1,1
9,Th17,2
9,Th2,1
9,Treg,3
9,pDC,24
10,Immune_unassi,3
10,pDC,1
11,CD4_memory,54
11,CD8_exhausted,3
11,Immune_unassi,5
11,Macro_M1,1
11,Macro_M2,2
11,Th1,2
11,Th2,4
11,Treg,5
11,cDC1,1
11,cDC2,4
11,pDC,1
12,Immune_unassi,1
13,CD4_memory,1
13,CD4_naive,29
13,CD8_exhausted,2
13,CD8_memory,5
13,Immune_unassi,9
13,Macro_M1,6
13,Macro_M2,1
13,Th1,1
13,Th17,33
13,Treg,2
13,cDC1,72
13,cDC2,5
13,pDC,59
