0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NELL2,INPP4B,FMNL2,ITGAX,ABHD3,GPRC5A,PCBP3,HMOX1,CRTAM,ST6GAL1,TANC1,GPAT3,ABCC4,LMO7,PLCG2,GRAP2,TIMP1
ITGA1,LEF1,SIPA1L2,ZFYVE16,GNG7,PPFIBP1,FAAH2,HCK,TMEM71,IGHA1,DLC1,AXL,ITGA9,KIAA1217,GNG7,CHST12,PDZD2
PPP2R2B,CDC14A,PRKAG2,G0S2,AFF3,PKP4,ANK3,IL1RAP,HELB,PLCG2,PTPRM,IFI30,IL18R1,TJP1,BANK1,CSGALNACT1,CRISPLD2
DAPK2,ANK3,PMP22,P2RX1,HDAC9,IDO1,PGAP1,DNAH17,CCL5,TEX14,RALGAPA2,G0S2,MITF,LDLR,HIPK2,NIPAL3,CDC42EP4
PELO-AS1,GK,ZFYVE16,PAPSS2,CD70,AGAP1,CDC14A,WASHC2C,THEMIS,LINC00877,TJP2,DOCK5,PDE8A,FAM13A,CD22,RUNX2,SDK1
THEMIS,SPATS2L,IL1B,PRKAG2,TP63,DOCK1,TGFBR3,IL3RA,CCL4,CLIC4,TJP1,HDAC9,EPB41L1,GRHL2,ST6GAL1,MAST4,IL1R1
SCML4,HELB,LRMDA,SLC25A37,ST6GAL1,LINC00511,PLCL1,LPCAT1,RAB27A,SLAMF7,ATP11A,TMEM163,FER,KRT19,SOX5,TEX14,GRB10
RUNX2,TSHZ2,MMP19,NRIP3,SAMD12,EMP1,LEF1,MCTP1,LINC01934,HDAC9,IGFBP7,PAPSS2,MAST4,NEDD4L,SLAMF7,LINC02446,TNS1
IFNG,FAM184A,ZNF804A,CRADD,CLIC4,TANC1,CMTM8,ALDH1A2,TRG-AS1,CD70,COL4A2,ENTPD1,SORBS1,DLC1,BLK,NELL2,RRAD
CSGALNACT1,IL12RB2,ITGAX,GPAT3,INPP5F,PDLIM1,P2RY8,LIMK2,CASS4,HSP90AA1,AKAP12,ZFYVE16,PALM2AKAP2,INSR,IFI30,RAB27A,PLOD2
