leiden,TP53,MYC,STAT1,NFKB1,HIF1A,FOXP3,TBX21,GATA3,TWIST1,SNAI1,NKX2-1
0,-0.0791122376131894,0.5880306227565678,0.6602540169551204,-0.0990097389432597,0.2052785799381964,0.019347195895117374,0.1401983680278797,-0.02134732145834439,0.36559473335695736,0.40765398738419484,-0.0320902384751536
1,0.13801213817522792,0.4124965543922873,0.5833233244950266,0.04849675015286283,0.03654259615832263,0.2615658004082929,-0.09393722774746183,0.0014813228770419293,0.2183373835072899,0.23326158129775132,-0.03549894345236254
2,-0.0606118949496046,0.3831584635534518,0.443813418213932,0.3716606887059709,0.20622385978089278,-0.09471918654614288,-0.23426615990744046,-0.006931225197629695,0.7072788057251894,1.1801914387490364,-0.03492179840437474
3,-0.04507720484117262,0.32841579070491317,0.4435288223365764,0.38644613350005375,0.3022845824710907,-0.1440625401547606,-0.29522706569944107,-0.008146217380251205,0.5808682685692534,0.693093660172962,-0.032124350280988784
4,0.10015070845647592,0.3957855398413543,0.5227752753323012,0.10047488129254682,-0.12580155634957224,-0.10942287412237386,-0.25688554671204206,0.0710780026843247,0.0837521188147575,0.05103736590413214,-0.037754411928862044
5,-0.08543233153956278,0.5605627202033997,-0.045910463600918876,-0.06403429829478263,0.6943520542025565,-0.09668616021941205,-0.38505728410482404,0.06951522128582001,-0.281107665195537,-0.47277820373972257,-0.09584840764403343
6,0.06635366279573862,0.5976965771786293,0.493397311057803,-0.07840116742561604,0.10458528409333065,0.26956320277038714,-0.09718360271125004,-0.022400508333896767,0.3238495933216338,0.34095592512481515,-0.02799101458952345
7,-0.03772944334265474,0.3300237095158165,0.6360067875392963,0.08061293983098233,0.04628353058087705,-0.012116946862876931,0.19359554606856721,0.0012621529039108395,0.2215860113983732,0.22780091109299902,-0.033594354275952684
8,0.1897013171486763,0.19879919107365288,0.47954992307995364,0.14511085225575007,0.013905446019338729,-0.040294773469296344,-0.1457264627983321,-0.05153449731086617,0.2641680712823454,0.29814421663236856,-0.028124694174795007
9,0.11880898116741861,0.4078059160212676,0.6615374873117836,0.5878207097202539,0.0409186547746261,-0.15170247385268984,-0.3523740187287331,-0.052265990115702154,0.8166636548393486,0.9078371104598045,-0.0810345171764493
10,0.02996734841344822,0.5151485772455883,0.45521142467021974,0.26035580228751815,0.18581086220315926,-0.12825856151074957,-0.3280178061001737,-0.0023145861818756864,0.5142489645741651,0.7382192054041116,-0.04502839002810734
11,-0.09883906634816839,0.14521116996778594,0.308692446528973,0.5041530914659854,0.027548676812599714,-0.017895363335485488,-0.27850545683024847,0.023470576383449415,0.6745641342248637,0.8401516302917229,-0.033733674479119576
12,0.08970626929260438,0.45747981703943674,0.2325974722031426,0.45340956012407935,0.278096652444866,-0.16302185440966407,-0.3670669236282507,0.028763645874957246,0.0013709003784361541,-0.08944504498607582,1.5948926413804294
13,-0.006666005506755236,0.4148233890484721,0.4469973889622355,0.0055925426462689175,-0.1326985131039981,-0.13331125840227506,-0.33620986210430126,0.08608744603114067,0.18084402408308714,0.15579270399691209,-0.032528610894608394
14,-0.09730714466169282,0.8932057462254643,-0.12076125901992456,-0.04202960855310614,0.6830703762083343,-0.05142462107962591,-0.30349280946904966,-0.018216412284157494,-0.21219183750596968,-0.34241445289958605,-0.02389250070398504
15,-0.07691896968084155,0.042362667346212336,0.17687347227512135,0.0802308761467368,-0.09999164249937414,-0.00811961077971654,0.17651439303058689,0.017355542708251435,0.14388677772788475,0.12552328301014873,-0.02279836792056843
16,0.04645735505775169,0.49564253499268224,0.4697664900827672,0.3629792420069377,0.12568220368138067,-0.13584312884784955,-0.3273895396126641,0.04336002135718311,1.3715538665854727,1.3237745111959953,-0.061703088460145175
