stage,file,issue,severity,impact,evidence,recommended fix
orchestration,run_end_to_end.sh,"Uses obsolete --outdir and omits required --project when calling optimized pipeline",Critical,"End-to-end execution path is broken","run_end_to_end.sh lines 113-117; optimized parser requires --project","Replace --outdir with --project and align wrapper args with current CLI"
orchestration,run_end_to_end.sh,"--skip-cellranger and --skip-scanpy options do not change execution flow",High,"Unsafe reruns and misleading control behavior","run_end_to_end.sh lines 215-220 only print text; main still runs both stages","Implement real conditional branches in main based on parsed flags"
orchestration,run_end_to_end.sh,"Conda environment check is incorrect (false negatives)",High,"Script aborts even when environment exists","run_end_to_end.sh line 52 uses grep pattern with leading+trailing spaces; dry-run failed while sc10x exists","Use robust check: conda env list | awk '{print $1}' | grep -Fx \"$CONDA_ENV\""
output-path,downstream_scanpy/scanpy_pipeline_optimized.py,"Default output root is relative (../output) and CWD-dependent",High,"Boundary leakage and non-reproducible output location","scanpy_pipeline_optimized.py lines 74 and 618; run from repo root attempted write outside module","Resolve output root from script directory and normalize to absolute path"
output-path,downstream_scanpy/run_scanpy_pipeline.py,"Default output root is relative (../output) and CWD-dependent",High,"Same boundary/reproducibility risk as optimized pipeline","run_scanpy_pipeline.py line 29","Apply same absolute-path anchoring strategy"
qc,downstream_scanpy/scanpy_pipeline_optimized.py,"max_ribo_pct configured but never used in filtering",Medium,"Configuration is misleading; expected QC control is absent","max_ribo_pct only defined in config line 43 and never referenced elsewhere","Either apply ribosomal threshold in filter mask or remove option from config/docs"
qc,downstream_scanpy/scanpy_pipeline_optimized.py,"Default PBMC QC is too stringent for this dataset (mt<5)",High,"Severe overfiltering and biological distortion","audit_default filtering_stats.csv: 151/1221 cells retained (12.4%); mt<5 passes only 157 cells","Relax defaults (e.g. mt<10-15 for PBMC-like data) or make dataset-aware defaults mandatory"
doublet,downstream_scanpy/scanpy_pipeline_optimized.py,"Doublet detection silently degrades to all non-doublet on failure",High,"False sense of QC completeness; no actual doublet removal","run logs: Scrublet failed due missing skimage, then predicted_doublet=False for all","Fail hard by default or emit explicit pipeline status flag and stop when doublet mode is requested but unavailable"
doublet,downstream_scanpy/scanpy_pipeline_optimized.py,"doublet_threshold option is parsed but never used",High,"User-specified threshold has no effect","Config set at lines 795-796 but never passed to scrublet call line 268","Pass threshold to scrublet API and test behavior"
compatibility,downstream_scanpy/scanpy_pipeline_optimized.py,"gene_ids mode breaks MT/ribo detection and marker panel lookups",High,"QC and marker plots become biologically invalid in gene_ids mode","MT genes flagged 0/38606 when var_names=gene_ids; canonical marker lookup fails","When var_names=gene_ids, use var['gene_symbols'] for QC flags and marker matching"
annotation,downstream_scanpy/scanpy_pipeline_optimized.py,"No actual cell-type annotation assignment implemented",High,"No reproducible cell-type labels; conclusions remain manual and weak","No cell_type assignment in code; only plotting markers","Add explicit annotation function producing obs['cell_type'] and confidence score per cluster/cell"
annotation,README.md,"Claims final cell type annotation although code does not perform label assignment",Medium,"Documentation overstates analytical completeness","README overview and report claims vs absence of annotation output column","Update docs to match reality or implement annotation stage"
reproducibility,project root,"No environment lock/spec file despite script/docs referencing environment.yml",High,"Cannot reliably recreate runtime dependencies","No environment.yml/requirements.txt found; wrapper error suggests missing file","Provide environment.yml (or lockfile) covering scanpy/scrublet/skimage/leiden stack"
runtime,downstream scripts + env,"Scanpy import fails in this environment unless NUMBA_CACHE_DIR is set",High,"Out-of-the-box script execution fails","Direct script invocation failed with numba caching RuntimeError until NUMBA_CACHE_DIR set","Document and set required env vars in wrapper or environment activation script"
stochasticity,downstream_scanpy/*.py,"No fixed random_state for UMAP/Leiden",Medium,"Run-to-run variability reduces reproducibility","No random_state arguments in UMAP/Leiden calls","Expose and set seed parameter in config and logs"
documentation,downstream_scanpy/pipeline_comparison.md,"Still uses old --outdir examples incompatible with current CLI",Medium,"Users following docs will fail runs or mis-route outputs","pipeline_comparison.md lines 127,134,167,170","Update all docs and examples to current --project interface"
scientific-interpretation,output/audit_default,"Default run produced under-resolved PBMC structure (3 clusters from 151 cells)",High,"Weak lineage interpretability and increased false annotation risk","audit_default cluster_counts.csv and marker summaries show collapsed mixed clusters","Do not use default output for biological claims; rerun with data-driven QC and verify lineage markers"
module-boundary,run_end_to_end.sh + docs,"Isolation guarantee is overstated relative to actual path behavior",Medium,"Potential mixing of outputs and ambiguous provenance","run_end_to_end intends cellranger_out/analysis; scripts use CWD-relative output; docs claim strict isolation","Enforce absolute namespaced output root and add run manifest with explicit input/output paths"
